Sample_ID,Species,Pre_treatment,Probiotic,ABTS,DPPH,FRAP,TPC,Vit_B1,Vit_B2,Beta_glucan,Texture,Delta_H,Sensory_score
S1,A_bisporus,No_pretreatment,No_inoculation,219.96,21.99,16.63,195.33,616.42,797.66,9.55,12.90,87.84,4.4
S2,A_bisporus,No_pretreatment,No_inoculation,218.28,22.92,17.11,203.72,737.67,826.63,9.66,12.19,87.63,4.4
S3,A_bisporus,No_pretreatment,No_inoculation,210.96,19.23,15.93,213.26,764.35,998.02,9.44,13.97,87.70,4.4
S4,A_bisporus,No_pretreatment,No_inoculation,230.09,21.99,14.19,156.42,539.84,509.11,10.43,14.43,83.81,4.4
S5,A_bisporus,No_pretreatment,No_inoculation,229.53,20.46,14.77,155.65,486.30,453.35,10.30,12.06,83.47,4.4
S6,A_bisporus,No_pretreatment,No_inoculation,237.40,21.99,13.78,157.18,437.04,444.24,10.55,15.06,83.74,4.4
S7,A_bisporus,WB_30s,No_inoculation,245.84,18.92,15.34,160.23,815.93,1439.54,12.10,13.18,87.68,4.4
S8,A_bisporus,WB_30s,No_inoculation,250.90,19.00,13.74,149.17,868.67,1580.14,11.97,16.14,87.10,4.4
S9,A_bisporus,WB_30s,No_inoculation,248.09,17.23,15.69,147.64,737.19,1405.75,12.23,16.53,87.97,4.4
S10,A_bisporus,WB_30s,No_inoculation,261.03,20.53,13.57,168.62,848.59,2313.90,11.10,13.70,89.77,4.4
S11,A_bisporus,WB_30s,No_inoculation,258.78,22.15,13.20,191.89,742.30,2154.34,11.02,13.47,89.38,4.4
S12,A_bisporus,WB_30s,No_inoculation,266.66,18.15,13.64,191.51,874.66,2329.26,11.19,15.06,89.51,4.4
S13,A_bisporus,WB_30s,LA5,222.78,21.76,13.46,154.89,826.42,1556.31,11.41,16.67,78.11,4.3
S14,A_bisporus,WB_30s,LA5,227.84,19.38,13.83,156.80,767.43,1505.83,11.43,17.59,77.71,4.3
S15,A_bisporus,WB_30s,LA5,246.40,18.15,13.86,146.50,800.80,1465.98,11.39,16.10,77.96,4.3
S16,A_bisporus,WB_30s,LA5,229.53,17.04,13.83,169.39,696.42,1437.76,12.50,14.32,74.92,4.3
S17,A_bisporus,WB_30s,LA5,239.09,18.42,13.13,170.53,653.24,1595.75,12.33,14.16,74.89,4.3
S18,A_bisporus,WB_30s,LA5,244.15,19.15,14.49,171.68,603.24,1321.00,12.66,14.26,74.62,4.3
S19,A_bisporus,WB_30s,PL,254.84,19.76,15.36,164.81,650.08,1358.91,11.65,14.81,72.64,4.2
S20,A_bisporus,WB_30s,PL,239.65,19.00,14.30,157.94,635.38,1409.92,11.67,16.29,72.58,4.2
S21,A_bisporus,WB_30s,PL,246.97,16.77,14.42,172.06,768.10,1433.80,11.63,13.99,71.83,4.2
S22,A_bisporus,WB_30s,PL,270.03,24.34,14.21,167.86,856.77,1598.05,7.59,16.42,76.28,4.2
S23,A_bisporus,WB_30s,PL,275.66,24.58,14.89,176.63,916.42,1701.15,7.59,13.57,76.44,4.2
S24,A_bisporus,WB_30s,PL,273.97,22.55,14.73,179.69,924.22,1854.84,7.60,17.66,75.38,4.2
S25,A_bisporus,WB_2m,No_inoculation,132.32,14.15,15.20,130.85,714.28,3180.93,9.10,20.96,89.41,3.8
S26,A_bisporus,WB_2m,No_inoculation,133.89,15.30,14.44,128.18,710.21,3007.05,8.97,19.44,89.16,3.8
S27,A_bisporus,WB_2m,No_inoculation,128.94,14.46,14.99,126.66,698.57,3048.72,9.13,19.89,89.11,3.8
S28,A_bisporus,WB_2m,No_inoculation,140.42,11.93,12.58,152.22,838.26,4441.74,10.38,21.56,96.11,3.8
S29,A_bisporus,WB_2m,No_inoculation,135.47,14.85,13.36,151.46,739.94,4109.04,10.72,19.90,96.08,3.8
S30,A_bisporus,WB_2m,No_inoculation,138.39,13.63,12.04,154.89,818.00,4280.00,10.33,22.83,96.10,3.8
S31,A_bisporus,WB_2m,LA5,124.44,15.77,13.46,120.17,630.75,3961.99,9.98,27.02,83.63,4.0
S32,A_bisporus,WB_2m,LA5,122.86,14.46,12.02,123.00,712.48,4542.30,9.98,24.00,82.60,4.0
S33,A_bisporus,WB_2m,LA5,116.56,17.46,13.08,118.00,624.37,3993.92,10.01,26.76,82.57,4.0
S34,A_bisporus,WB_2m,LA5,118.59,5.77,12.51,129.33,889.37,3456.98,8.78,28.71,77.79,4.0
S35,A_bisporus,WB_2m,LA5,130.29,5.08,12.70,130.09,894.72,3223.37,8.50,27.87,77.13,4.0
S36,A_bisporus,WB_2m,LA5,124.44,5.38,12.18,128.00,806.88,3011.58,8.82,23.11,77.53,4.0
S37,A_bisporus,WB_2m,PL,222.21,16.61,13.15,217.46,825.59,4388.99,10.29,7.44,80.58,3.1
S38,A_bisporus,WB_2m,PL,210.40,13.92,12.30,220.00,866.20,4806.29,10.24,5.83,79.66,3.1
S39,A_bisporus,WB_2m,PL,196.34,15.61,12.58,218.98,835.66,4707.74,10.24,7.17,79.00,3.1
S40,A_bisporus,WB_2m,PL,132.32,5.23,11.43,159.85,504.54,3428.16,10.01,6.99,85.71,3.1
S41,A_bisporus,WB_2m,PL,128.72,7.00,11.59,165.57,489.25,3410.97,10.00,6.52,85.60,3.1
S42,A_bisporus,WB_2m,PL,130.52,6.46,11.67,166.33,545.74,3858.04,10.06,5.49,85.46,3.1
S43,A_bisporus,MB_2m,No_inoculation,119.71,10.00,11.52,103.00,784.69,2561.01,9.05,21.19,83.94,4.0
S44,A_bisporus,MB_2m,No_inoculation,115.21,10.92,12.49,111.78,799.23,2340.76,9.04,21.45,83.99,4.0
S45,A_bisporus,MB_2m,No_inoculation,121.29,10.23,11.71,112.54,686.28,2065.47,8.90,18.14,83.68,4.0
S46,A_bisporus,MB_2m,No_inoculation,113.19,12.17,13.38,114.00,780.55,3824.24,9.60,19.49,86.03,4.0
S47,A_bisporus,MB_2m,No_inoculation,110.71,11.44,12.18,109.87,687.87,3786.10,9.60,17.03,86.00,4.0
S48,A_bisporus,MB_2m,No_inoculation,117.69,13.06,13.86,132.00,772.88,3867.12,9.62,21.56,84.92,4.0
S49,A_bisporus,MB_2m,LA5,109.81,9.77,13.13,99.57,682.37,2690.71,10.94,18.74,74.11,3.8
S50,A_bisporus,MB_2m,LA5,109.36,9.00,12.09,107.50,699.83,2826.96,10.95,19.80,74.22,3.8
S51,A_bisporus,MB_2m,LA5,113.86,11.38,12.58,103.77,643.20,3091.25,10.95,20.59,73.92,3.8
S52,A_bisporus,MB_2m,LA5,112.51,15.82,14.73,94.61,682.67,3072.54,11.67,18.50,75.08,3.8
S53,A_bisporus,MB_2m,LA5,114.09,14.60,13.97,100.72,638.84,2838.69,11.80,17.11,75.25,3.8
S54,A_bisporus,MB_2m,LA5,125.34,13.71,14.33,93.00,616.28,2537.80,11.53,18.23,75.63,3.8
S55,A_bisporus,MB_2m,PL,112.06,6.92,11.67,98.81,770.81,3508.43,7.09,15.75,81.65,4.1
S56,A_bisporus,MB_2m,PL,112.29,4.92,11.08,104.45,730.88,3173.05,7.15,18.15,80.14,4.1
S57,A_bisporus,MB_2m,PL,114.54,6.08,11.62,106.06,752.29,3445.49,7.07,18.37,80.45,4.1
S58,A_bisporus,MB_2m,PL,105.31,11.28,12.72,97.00,929.70,3990.70,7.81,15.48,74.21,4.1
S59,A_bisporus,MB_2m,PL,108.46,12.17,12.44,101.86,917.97,3871.90,7.97,20.29,73.81,4.1
S60,A_bisporus,MB_2m,PL,99.91,9.98,12.42,98.43,921.47,3870.15,7.73,16.43,73.14,4.1
S61,I_badia,No_pretreatment,No_inoculation,213.21,27.09,29.82,312.07,165.72,2654.54,20.82,1.47,70.02,3.0
S62,I_badia,No_pretreatment,No_inoculation,207.08,26.13,31.35,310.16,159.76,2595.63,20.49,1.19,69.86,2.9
S63,I_badia,No_pretreatment,No_inoculation,237.10,28.78,28.39,314.74,152.00,2698.00,21.16,1.60,69.93,3.0
S64,I_badia,No_pretreatment,No_inoculation,183.80,25.91,32.53,338.77,100.44,2403.60,23.54,1.24,71.28,2.9
S65,I_badia,No_pretreatment,No_inoculation,211.37,27.68,33.99,331.91,107.20,2487.93,24.08,1.28,71.17,3.0
S66,I_badia,No_pretreatment,No_inoculation,186.86,25.25,30.98,321.99,117.82,2397.23,23.01,1.35,71.20,2.9
S67,I_badia,WB_30s,No_inoculation,135.40,29.89,19.32,201.81,141.18,2209.08,22.53,3.02,76.31,3.5
S68,I_badia,WB_30s,No_inoculation,140.91,31.14,17.72,194.57,125.53,2109.73,23.23,2.25,76.24,3.6
S69,I_badia,WB_30s,No_inoculation,146.43,28.64,16.26,203.72,140.81,1808.11,21.83,2.64,76.27,3.5
S70,I_badia,WB_30s,No_inoculation,149.49,27.02,16.75,236.53,114.08,1436.10,24.72,2.73,76.56,3.5
S71,I_badia,WB_30s,No_inoculation,162.36,27.87,16.28,227.37,102.78,1687.46,25.54,2.64,76.55,3.5
S72,I_badia,WB_30s,No_inoculation,145.81,30.80,19.91,222.03,134.00,1399.97,23.95,2.47,76.54,3.5
S73,I_badia,WB_30s,LA5,171.53,32.10,21.96,220.13,205.68,2573.33,22.03,2.57,75.71,3.5
S74,I_badia,WB_30s,LA5,199.73,31.29,19.15,217.84,210.51,2251.01,22.60,2.77,75.79,3.5
S75,I_badia,WB_30s,LA5,186.86,36.79,20.14,218.60,230.04,2403.62,21.44,2.50,75.76,3.5
S76,I_badia,WB_30s,LA5,177.67,30.99,19.60,213.26,161.63,1498.27,25.63,2.35,76.25,3.5
S77,I_badia,WB_30s,LA5,162.97,30.55,18.66,232.33,154.54,1622.64,26.56,2.83,76.22,3.5
S78,I_badia,WB_30s,LA5,176.45,30.77,18.47,222.41,201.61,1596.67,24.69,2.08,76.15,3.5
S79,I_badia,WB_30s,PL,139.69,15.12,13.22,86.98,103.69,1918.76,21.77,1.73,73.48,4.2
S80,I_badia,WB_30s,PL,165.42,12.23,13.24,107.20,106.67,2228.56,21.95,1.47,73.45,4.2
S81,I_badia,WB_30s,PL,153.78,13.29,13.55,124.75,115.00,2005.00,21.60,1.34,73.41,4.2
S82,I_badia,WB_30s,PL,165.42,19.37,19.32,162.14,87.58,2052.98,20.58,1.55,72.13,4.2
S83,I_badia,WB_30s,PL,190.54,16.42,19.46,141.92,108.72,2204.47,21.12,1.39,72.23,4.2
S84,I_badia,WB_30s,PL,187.47,16.55,18.71,173.96,95.00,2135.00,20.02,1.48,72.13,4.2
S85,I_badia,WB_2m,No_inoculation,137.85,34.53,14.96,184.26,299.31,1861.53,23.14,6.30,78.03,4.4
S86,I_badia,WB_2m,No_inoculation,155.00,37.10,13.78,190.75,343.97,2177.62,23.90,8.86,77.87,4.4
S87,I_badia,WB_2m,No_inoculation,139.69,38.80,15.22,185.41,315.00,2095.00,22.45,8.30,77.87,4.3
S88,I_badia,WB_2m,No_inoculation,155.62,35.34,13.48,190.37,224.05,1010.03,24.94,8.41,77.87,4.5
S89,I_badia,WB_2m,No_inoculation,142.75,31.07,13.64,193.42,251.91,1117.14,25.48,7.69,77.96,4.4
S90,I_badia,WB_2m,No_inoculation,149.49,33.05,13.50,194.95,270.11,1014.56,24.40,9.07,77.91,4.5
S91,I_badia,WB_2m,LA5,155.00,34.45,16.26,183.88,244.77,2045.27,22.22,5.05,77.50,4.7
S92,I_badia,WB_2m,LA5,189.31,34.60,13.64,183.88,274.20,1913.98,22.93,4.83,77.40,4.8
S93,I_badia,WB_2m,LA5,155.20,38.72,13.10,196.47,278.12,1881.85,21.50,6.42,77.58,4.6
